season_number,episode_number,contestant_id,contestant_name,episode_placement
7,8,85,Kandy Ho,OUT
7,8,83,Mrs. Kasha Davis,OUT
7,8,82,Jasmine Masters,OUT
7,8,88,Sasha Belle,OUT
7,8,89,Tempest DuJour,OUT
7,9,79,Violet Chachki,LOW
7,9,77,Ginger Minj,WIN
7,9,86,Pearl,BTM2
7,9,87,Kennedy Davenport,SAFE
7,9,81,Katya,HIGH
7,9,84,Trixie Mattel,SAFE
7,9,76,Miss Fame,ELIM
7,10,79,Violet Chachki,WIN
7,10,77,Ginger Minj,BTM2
7,10,86,Pearl,SAFE
7,10,87,Kennedy Davenport,SAFE
7,10,81,Katya,WIN
7,10,84,Trixie Mattel,ELIM
7,11,79,Violet Chachki,WIN
7,11,77,Ginger Minj,SAFE
7,11,86,Pearl,SAFE
7,11,87,Kennedy Davenport,BTM2
7,11,81,Katya,ELIM
7,12,79,Violet Chachki,SAFE
7,12,77,Ginger Minj,SAFE
7,12,86,Pearl,SAFE
7,12,87,Kennedy Davenport,ELIM
7,14,79,Violet Chachki,Winner
7,14,77,Ginger Minj,Runner-up
7,14,86,Pearl,Runner-up
7,14,87,Kennedy Davenport,Guest
7,14,81,Katya,Miss C
7,14,84,Trixie Mattel,Guest
7,14,76,Miss Fame,Guest
7,14,78,Jaidynn Diore Fierce,Guest
7,14,80,Max,Guest
7,14,85,Kandy Ho,Guest
7,14,83,Mrs. Kasha Davis,Guest
7,14,82,Jasmine Masters,Guest
7,14,88,Sasha Belle,Guest
7,14,89,Tempest DuJour,Guest
8,1,98,Bob the Drag Queen,SAFE
8,1,96,Kim Chi,WIN
8,1,90,Naomi Smalls,SAFE
8,1,100,Chi Chi DeVayne,SAFE
8,1,101,Derrick Barry,HIGH
8,1,97,Thorgy Thor,SAFE
8,1,95,Robbie Turner,LOW
8,1,94,Acid Betty,HIGH
8,1,93,Naysha Lopez,ELIM
8,1,91,Cynthia Lee Fontaine,SAFE
8,1,92,Dax ExclamationPoint,SAFE
8,1,99,Laila McQueen,BTM2
8,2,98,Bob the Drag Queen,SAFE
8,2,96,Kim Chi,LOW
8,2,90,Naomi Smalls,SAFE
8,2,100,Chi Chi DeVayne,WIN
8,2,101,Derrick Barry,SAFE
8,2,97,Thorgy Thor,HIGH
8,2,95,Robbie Turner,SAFE
8,2,94,Acid Betty,HIGH
8,2,91,Cynthia Lee Fontaine,SAFE
8,2,92,Dax ExclamationPoint,ELIM
8,2,99,Laila McQueen,ELIM
8,3,98,Bob the Drag Queen,WIN
8,3,96,Kim Chi,SAFE
8,3,90,Naomi Smalls,SAFE
8,3,100,Chi Chi DeVayne,SAFE
8,3,101,Derrick Barry,LOW
8,3,97,Thorgy Thor,HIGH
8,3,95,Robbie Turner,BTM2
8,3,94,Acid Betty,HIGH
8,3,93,Naysha Lopez,SAFE
8,3,91,Cynthia Lee Fontaine,ELIM
8,4,98,Bob the Drag Queen,SAFE
8,4,96,Kim Chi,HIGH
8,4,90,Naomi Smalls,HIGH
8,4,100,Chi Chi DeVayne,BTM2
8,4,101,Derrick Barry,LOW
8,4,97,Thorgy Thor,SAFE
8,4,95,Robbie Turner,WIN
8,4,94,Acid Betty,SAFE
8,4,93,Naysha Lopez,ELIM
8,5,98,Bob the Drag Queen,WIN
8,5,96,Kim Chi,SAFE
8,5,90,Naomi Smalls,BTM2
8,5,100,Chi Chi DeVayne,SAFE
8,5,101,Derrick Barry,HIGH
8,5,97,Thorgy Thor,HIGH
8,5,95,Robbie Turner,LOW
8,5,94,Acid Betty,ELIM
8,6,98,Bob the Drag Queen,SAFE
8,6,96,Kim Chi,HIGH
8,6,90,Naomi Smalls,WIN
8,6,100,Chi Chi DeVayne,LOW
8,6,101,Derrick Barry,BTM2
8,6,97,Thorgy Thor,SAFE
8,6,95,Robbie Turner,ELIM
8,7,98,Bob the Drag Queen,WIN
8,7,96,Kim Chi,SAFE
8,7,90,Naomi Smalls,SAFE
8,7,100,Chi Chi DeVayne,BTM2
8,7,101,Derrick Barry,WIN
8,7,97,Thorgy Thor,ELIM
8,8,98,Bob the Drag Queen,BTM2
8,8,96,Kim Chi,WIN
8,8,90,Naomi Smalls,HIGH
8,8,100,Chi Chi DeVayne,HIGH
8,8,101,Derrick Barry,ELIM
8,9,98,Bob the Drag Queen,SAFE
8,9,96,Kim Chi,SAFE
8,9,90,Naomi Smalls,SAFE
8,9,100,Chi Chi DeVayne,ELIM
8,10,98,Bob the Drag Queen,Winner
8,10,96,Kim Chi,Runner-up
8,10,90,Naomi Smalls,Runner-up
8,10,100,Chi Chi DeVayne,Guest
8,10,101,Derrick Barry,Guest
8,10,97,Thorgy Thor,Guest
8,10,95,Robbie Turner,Guest
8,10,94,Acid Betty,Guest
8,10,93,Naysha Lopez,Guest
8,10,91,Cynthia Lee Fontaine,Miss C
8,10,92,Dax ExclamationPoint,Guest
8,10,99,Laila McQueen,Guest
9,1,107,Sasha Velour,HIGH
9,1,102,Peppermint,SAFE
9,1,109,Shea Couleé,SAFE
9,1,110,Trinity Taylor,SAFE
9,1,108,Alexis Michelle,SAFE
9,1,113,Nina Bo'nina Brown,WIN
9,1,103,Valentina,SAFE
9,1,106,Farrah Moan,SAFE
9,1,114,Aja,SAFE
9,1,104,Eureka,HIGH
9,1,105,Charlie Hides,SAFE
9,1,111,Kimora Blac,SAFE
9,1,112,Jaymes Mansfield,SAFE
9,2,107,Sasha Velour,SAFE
9,2,102,Peppermint,SAFE
9,2,109,Shea Couleé,HIGH
9,2,110,Trinity Taylor,HIGH
9,2,108,Alexis Michelle,SAFE
9,2,113,Nina Bo'nina Brown,SAFE
9,2,103,Valentina,WIN
9,2,106,Farrah Moan,SAFE
9,2,114,Aja,SAFE
9,2,115,Cynthia Lee Fontaine,SAFE
9,2,104,Eureka,SAFE
9,2,105,Charlie Hides,LOW
9,2,111,Kimora Blac,BTM2
9,2,112,Jaymes Mansfield,ELIM
9,3,107,Sasha Velour,SAFE
9,3,102,Peppermint,HIGH
9,3,109,Shea Couleé,SAFE
9,3,110,Trinity Taylor,WIN
9,3,108,Alexis Michelle,SAFE
9,3,113,Nina Bo'nina Brown,SAFE
9,3,103,Valentina,HIGH
9,3,106,Farrah Moan,LOW
9,3,114,Aja,BTM2
9,3,115,Cynthia Lee Fontaine,SAFE
9,3,104,Eureka,SAFE
9,3,105,Charlie Hides,SAFE
9,3,111,Kimora Blac,ELIM
9,4,107,Sasha Velour,WIN
9,4,102,Peppermint,LOW
9,4,109,Shea Couleé,WIN
9,4,110,Trinity Taylor,BTM2
9,4,108,Alexis Michelle,HIGH
9,4,113,Nina Bo'nina Brown,SAFE
9,4,103,Valentina,HIGH
9,4,106,Farrah Moan,HIGH
9,4,114,Aja,HIGH
9,4,115,Cynthia Lee Fontaine,SAFE
9,4,104,Eureka,SAFE
9,4,105,Charlie Hides,ELIM
9,5,107,Sasha Velour,SAFE
9,5,102,Peppermint,HIGH
9,5,109,Shea Couleé,WIN
9,5,110,Trinity Taylor,SAFE
9,5,108,Alexis Michelle,HIGH
9,5,113,Nina Bo'nina Brown,LOW
9,5,103,Valentina,SAFE
9,5,106,Farrah Moan,BTM2
9,5,114,Aja,SAFE
9,5,115,Cynthia Lee Fontaine,BTM2
9,5,104,Eureka,OUT
9,6,107,Sasha Velour,HIGH
9,6,102,Peppermint,BTM2
9,6,109,Shea Couleé,SAFE
9,6,110,Trinity Taylor,SAFE
9,6,108,Alexis Michelle,WIN
9,6,113,Nina Bo'nina Brown,HIGH
9,6,103,Valentina,SAFE
9,6,106,Farrah Moan,LOW
9,6,114,Aja,SAFE
9,6,115,Cynthia Lee Fontaine,ELIM
9,7,107,Sasha Velour,LOW
9,7,102,Peppermint,SAFE
9,7,109,Shea Couleé,HIGH
9,7,110,Trinity Taylor,WIN
9,7,108,Alexis Michelle,SAFE
9,7,113,Nina Bo'nina Brown,BTM2
9,7,103,Valentina,HIGH
9,7,106,Farrah Moan,SAFE
9,7,114,Aja,ELIM
9,8,107,Sasha Velour,HIGH
9,8,102,Peppermint,WIN
9,8,109,Shea Couleé,HIGH
9,8,110,Trinity Taylor,LOW
9,8,108,Alexis Michelle,BTM2
9,8,113,Nina Bo'nina Brown,SAFE
9,8,103,Valentina,SAFE
9,8,106,Farrah Moan,ELIM
9,9,107,Sasha Velour,WIN
9,9,102,Peppermint,HIGH
9,9,109,Shea Couleé,WIN
9,9,110,Trinity Taylor,HIGH
9,9,108,Alexis Michelle,LOW
9,9,113,Nina Bo'nina Brown,BTM2
9,9,103,Valentina,ELIM
9,10,107,Sasha Velour,HIGH
9,10,102,Peppermint,SAFE
9,10,109,Shea Couleé,BTM2
9,10,110,Trinity Taylor,WIN
9,10,108,Alexis Michelle,LOW
9,10,113,Nina Bo'nina Brown,ELIM
9,11,107,Sasha Velour,HIGH
9,11,102,Peppermint,BTM2
9,11,109,Shea Couleé,WIN
9,11,110,Trinity Taylor,LOW
9,11,108,Alexis Michelle,ELIM
9,12,107,Sasha Velour,SAFE
9,12,102,Peppermint,SAFE
9,12,109,Shea Couleé,SAFE
9,12,110,Trinity Taylor,SAFE
9,13,107,Sasha Velour,Guest
9,13,102,Peppermint,Guest
9,13,109,Shea Couleé,Guest
9,13,110,Trinity Taylor,Guest
9,13,108,Alexis Michelle,Guest
9,13,113,Nina Bo'nina Brown,Guest
9,13,103,Valentina,Miss C
9,13,106,Farrah Moan,Guest
9,13,114,Aja,Guest
9,13,115,Cynthia Lee Fontaine,Guest
9,13,104,Eureka,Guest
9,13,105,Charlie Hides,Guest
9,13,111,Kimora Blac,Guest
9,13,112,Jaymes Mansfield,Guest
9,14,107,Sasha Velour,Winner
9,14,102,Peppermint,Runner-up
9,14,109,Shea Couleé,Eliminated
9,14,110,Trinity Taylor,Eliminated
9,14,108,Alexis Michelle,Guest
9,14,113,Nina Bo'nina Brown,Guest
9,14,103,Valentina,Guest
9,14,106,Farrah Moan,Guest
9,14,114,Aja,Guest
9,14,115,Cynthia Lee Fontaine,Guest
9,14,104,Eureka,Guest
9,14,105,Charlie Hides,Guest
9,14,111,Kimora Blac,Guest
9,14,112,Jaymes Mansfield,Guest
10,1,129,Aquaria,SAFE
10,1,116,Eureka,SAFE
10,1,122,Kameron Michaels,SAFE
10,1,117,Asia O'Hara,SAFE
10,1,118,Miz Cracker,HIGH
10,1,121,Monét X Change,SAFE
10,1,127,The Vixen,SAFE
10,1,125,Monique Heart,SAFE
10,1,120,Blair St. Clair,HIGH
10,1,123,Mayhem Miller,WIN
10,1,126,Dusty Ray Bottoms,LOW
10,1,119,Yuhua Hamasaki,HIGH
10,1,124,Kalorie Karbdashian Williams,BTM2
10,1,128,Vanessa Vanjie Mateo,ELIM
10,2,129,Aquaria,SAFE
10,2,116,Eureka,BTM2
10,2,122,Kameron Michaels,HIGH
10,2,117,Asia O'Hara,SAFE
10,2,118,Miz Cracker,HIGH
10,2,121,Monét X Change,HIGH
10,2,127,The Vixen,WIN
10,2,125,Monique Heart,LOW
10,2,120,Blair St. Clair,HIGH
10,2,123,Mayhem Miller,HIGH
10,2,126,Dusty Ray Bottoms,SAFE
10,2,119,Yuhua Hamasaki,SAFE
10,2,124,Kalorie Karbdashian Williams,ELIM
10,3,129,Aquaria,SAFE
10,3,116,Eureka,HIGH
10,3,122,Kameron Michaels,LOW
10,3,117,Asia O'Hara,WIN
10,3,118,Miz Cracker,SAFE
10,3,121,Monét X Change,SAFE
10,3,127,The Vixen,SAFE
10,3,125,Monique Heart,SAFE
10,3,120,Blair St. Clair,HIGH
10,3,123,Mayhem Miller,BTM2
10,3,126,Dusty Ray Bottoms,SAFE
10,3,119,Yuhua Hamasaki,ELIM
10,4,129,Aquaria,WIN
10,4,116,Eureka,SAFE
10,4,122,Kameron Michaels,HIGH
10,4,117,Asia O'Hara,LOW
10,4,118,Miz Cracker,HIGH
10,4,121,Monét X Change,BTM2
10,4,127,The Vixen,SAFE
10,4,125,Monique Heart,SAFE
10,4,120,Blair St. Clair,SAFE
10,4,123,Mayhem Miller,SAFE
10,4,126,Dusty Ray Bottoms,ELIM
10,5,129,Aquaria,SAFE
10,5,116,Eureka,WIN
