contestant_id,contestant_name,season_number,episode_number,season_outcome,episode_placement,episode_title,episode_airdate,episode_type,episode_maxi_challenge_type,contestant_entrance,age,hometown_city,hometown_state,handle_instagram,handle_twitter
25,Manila Luzon,3,2,2,HIGH,The Queen Who Mopped Xmas,2011-01-24,Competition,Sewing,4,28,New York,New York,manilaluzon,manilaluzon
26,Stacy Layne Matthews,3,2,8,SAFE,The Queen Who Mopped Xmas,2011-01-24,Competition,Sewing,5,25,Back Swamp,North Carolina,stacylmatthews,StacyLMatthews
27,Venus D-Lite,3,2,13,ELIM,The Queen Who Mopped Xmas,2011-01-24,Competition,Sewing,6,26,Los Angeles,California,venusdlitemadonna,venusdlite
28,Yara Sofia,3,2,4,SAFE,The Queen Who Mopped Xmas,2011-01-24,Competition,Sewing,7,26,Manati,Puerto Rico,yarasofiapr,yarasofiapr
29,Mariah,3,2,9,SAFE,The Queen Who Mopped Xmas,2011-01-24,Competition,Sewing,8,29,Atlanta,Georgia,mug4dayz,mug4dayz
30,Alexis Mateo,3,2,3,SAFE,The Queen Who Mopped Xmas,2011-01-24,Competition,Sewing,9,30,St. Petersburg,Florida,miss_alexis_mateo,alexismateo79
31,India Ferrah,3,2,10,SAFE,The Queen Who Mopped Xmas,2011-01-24,Competition,Sewing,10,23,Dayton,Ohio,indiaferrah,Indiaferrah
32,Mimi Imfurst,3,2,11,HIGH,The Queen Who Mopped Xmas,2011-01-24,Competition,Sewing,11,27,New York,New York,mimiimfurst,
33,Raja,3,2,1,WIN,The Queen Who Mopped Xmas,2011-01-24,Competition,Sewing,12,36,Los Angeles,California,sutanamrull,sutanamrull
34,Shangela,3,2,6,BTM2,The Queen Who Mopped Xmas,2011-01-24,Competition,Sewing,13,29,Los Angeles,California,itsshangela,itsSHANGELA
22,Delta Work,3,3,7,BTM2,Queens in Space,2011-01-31,Competition,Acting,1,34,Norwalk,California,deltawork,
23,Carmen Carrera,3,3,5,LOW,Queens in Space,2011-01-31,Competition,Acting,2,25,Elmwood Park,New Jersey,carmen_carrera,Carmen_Carrera
24,Phoenix,3,3,12,ELIM,Queens in Space,2011-01-31,Competition,Acting,3,29,Atlanta,Georgia,phoenix_atl,Phoenix_atl
25,Manila Luzon,3,3,2,SAFE,Queens in Space,2011-01-31,Competition,Acting,4,28,New York,New York,manilaluzon,manilaluzon
